Date,GSP,Temp,Wind_Speed,Precip_Amount,Chill,Solar_Rad,Humidity,Cloud_Cover,,Demand
01/04/2016,_F,4.795832192,3.541666667,0,41.52967628,181.25,80.72916667,6.791666428,,773.6278
02/04/2016,_F,8.197914441,2.1875,0.117499967,21.41509891,192.0833333,90.09375,7.125,,814.586
03/04/2016,_F,7.709372759,1.666666667,0.075416651,17.42864148,323.75,83.4375,7.166666667,,787.0134
04/04/2016,_F,7.877081076,2.302083333,0.093229141,23.58697255,290.8333333,90.94791667,7.083333333,,728.2387
05/04/2016,_F,7.381248156,3.583333333,0.060833313,36.24374247,320,87.19791667,6.104166667,,720.98
06/04/2016,_F,5.492706974,5.791666667,0.111249968,72.65414906,568.3333333,85.53125,5.831249952,,725.7429
07/04/2016,_F,6.962498347,3.979166667,0.053020817,46.1343654,485,81.5625,5.687499841,,713.3522
08/04/2016,_F,6.80624783,1.947916667,0.053437486,20.088015,577.0833333,84.45833333,6.939583302,,680.8149
09/04/2016,_F,6.540623109,2.34375,0.066562479,27.63905541,451.25,76.84375,6.166666667,,715.4033
10/04/2016,_F,5.748956442,3,0.134062447,36.71874015,833.3333333,75.71875,4.729166508,,707.1606
11/04/2016,_F,6.748956601,5.53125,0.00125,60.04789988,565.8333333,88.82291667,6.92083327,,676.416
12/04/2016,_F,6.390623331,4.541666667,0.495312349,52.79426193,117.0833333,99.07291667,7.858332872,,708.1887
13/04/2016,_F,6.883331458,2.145833333,0.15260413,23.41249283,226.25,94.0625,7.291666667,,697.6192
14/04/2016,_F,5.776040316,2.6875,0.009166664,32.65728394,154.1666667,90.36458333,7.862499873,,697.2391
15/04/2016,_F,3.510415673,2.177083333,0.234166597,32.16874202,231.25,91.44791667,7.541666667,,710.6484
16/04/2016,_F,2.796874216,2.71875,0.053749984,39.26613458,616.6666667,81.32291667,5.297916651,,774.2157
17/04/2016,_F,4.492707258,4.302083333,0,52.1343689,735.4166667,77.67708333,5.493749857,,748.364
18/04/2016,_F,8.211455901,7.541666667,0.00958333,73.11196454,752.5,72.97916667,4.043749849,,661.9603
19/04/2016,_F,6.819789648,3.135416667,0,35.75415961,838.75,70.33333333,4.252082904,,610.0507
20/04/2016,_F,7.114581592,2.552083333,0,21.81197365,879.1666667,76.85416667,2.716666381,,579.5631
21/04/2016,_F,7.463540117,3.166666667,0,27.49999448,982.5,80.39583333,4.195832849,,513.3941
22/04/2016,_F,4.695832347,2.364583333,0.001770833,27.78436732,710,80.5625,5.045832992,,561.1962
23/04/2016,_F,3.503123954,2.458333333,0.009062497,33.46092796,624.5833333,77.27083333,5.210416436,,617.4777
24/04/2016,_F,4.721873571,2.5625,0.0003125,33.17967923,667.9166667,64.78125,6.843749921,,670.6934
25/04/2016,_F,4.663540324,4.354166667,0.01052083,58.27342733,642.5,69.71875,5.90625,,637.6825
26/04/2016,_F,2.764582465,4.020833333,0.15333329,60.80988407,654.1666667,83.53125,5.364583333,,682.5162
27/04/2016,_F,2.518749205,2.541666667,0.288541581,38.62498983,511.6666667,86.35416667,5.458333333,,688.1268
28/04/2016,_F,2.02604122,2.541666667,0.216666605,40.08592765,436.25,86.97916667,5.108332992,,681.3375
29/04/2016,_F,2.614582459,4.375,0.292187442,67.24061076,509.5833333,92.32291667,6.1875,,688.129
30/04/2016,_F,5.132289942,3.5625,0.0015625,42.52707609,906.25,76.65625,3.552083174,,660.3587
01/05/2016,_F,8.066664497,2.822916667,0.042499991,26.83176422,246.6666667,84.16666667,6.283333302,,654.9301
02/05/2016,_F,10.45103923,4.9375,0.075937478,37.17499161,559.1666667,76.34375,4.812499881,,637.653
03/05/2016,_F,8.022915045,5.447916667,0.000833333,53.54582357,931.6666667,73.92708333,3.895833254,,561.9953
04/05/2016,_F,10.26041436,2.947916667,0,20.10312096,1034.166667,68.35416667,5.170833111,,513.0572
05/05/2016,_F,11.49895493,2.635416667,0,16.18280828,985.4166667,67.80208333,5.324999889,,460.8295
06/05/2016,_F,10.73228923,2.614583333,0,16.87395469,719.5833333,76.28125,4.71875,,433.4879
07/05/2016,_F,8.588539203,3.1875,0.00125,27.97811794,444.5833333,93.76041667,7.854166667,,473.5305
08/05/2016,_F,11.72916365,3.041666667,0,15.72291275,966.6666667,85.52083333,5.699999571,,445.3891
09/05/2016,_F,11.34478855,3.822916667,0,20.53020334,1110,84.96875,3.781249444,,406.7918
10/05/2016,_F,11.20416371,4.40625,0,25.34530926,787.9166667,86.98958333,5.024999619,,397.8221
11/05/2016,_F,12.19478846,5.46875,0,30.29582659,909.5833333,81.70833333,4.743749897,,400.1304
12/05/2016,_F,11.64687212,5.0625,0,28.29634809,995.8333333,84.14583333,3.993749976,,394.3896
13/05/2016,_F,6.795831641,3.822916667,0.00958333,41.22030385,398.3333333,83.82291667,6.8125,,469.6432
14/05/2016,_F,6.828122675,2.5,0,26.94582621,960.4166667,66.36458333,5.63958327,,485.1313
15/05/2016,_F,8.348956267,1.8125,0,15.24530896,850.4166667,64.51041667,7.01458319,,492.5482
16/05/2016,_F,8.75416402,2.28125,0,20.17134968,842.5,71.85416667,6.352083127,,440.2725
17/05/2016,_F,10.68124795,2.895833333,0.002083333,17.29426678,934.5833333,77.84375,5.347916524,,420.1962
18/05/2016,_F,12.53749641,2.229166667,0.109583326,11.43072643,513.75,77.65625,6.452083111,,418.846
19/05/2016,_F,10.74374708,2.291666667,0.050833318,15.67916203,421.25,88.01041667,7.283333143,,419.1826
20/05/2016,_F,12.0395805,3.25,0.043854152,17.35312064,817.0833333,77.22916667,5.770833333,,418.9102
21/05/2016,_F,13.05833038,3.15625,0.045208317,13.58749763,688.3333333,76.60416667,5.73333327,,405.1271
